ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the link with professional practice / professional careers?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring?;Would you like to give your institution any other feedback on examination and assessment?;Would you like to give your institution any other feedback on engagement and contact?;Would you like to give your institution any other feedback on studying under special circumstances?
293;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;I don't understand how the grading weight is distributed across the projects.;It would be really helpful if the career center hosted more industry networking events.;I wish the teaching staff had more alignment regarding the actual program requirements.;Ik waardeer de inspanningen om een diverse omgeving te creëren, maar meer lokale tradities zouden helpen.;The connection kept dropping, making it hard to concentrate on the material.;Het zou een platform nodig hebben waar studenten kunnen ideeën voorstellen en de voortgang zien.;Het zou fijn zijn als de campus meer duidelijke en uniforme paden had, vrij van struikelgevaar.
294;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Kunt u de hoeveelheid leeswerk verminderen? Het is echt overweldigend.;More guest speakers from local companies could expose us to varied professional paths.;The delay in mentor feedback makes it difficult to plan my studies effectively and efficiently.;Het advies over studiemogelijkheden was heel nuttig en zeer specifiek voor mijn vakgebied.;Ik zou graag zien dat de examenopgaven meer context geven zodat we de vraagstelling beter begrijpen.;Zouden jullie een centrale contactpagina kunnen maken die alles omvat?;I appreciate the resources, but the academic advising needs more focus on career paths post-elite sport.
295;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Het zou fijn zijn als we meer perspectieven uit diverse culturen in de case studies zouden zien.;Ik zou graag een betere brug zien tussen het curriculum en de werkelijke bedrijfsbehoeften.;Het proactieve contact van de docenten geeft een gevoel van gemoedsrust en zekerheid.;Zouden jullie overwegen meer extra sessieuren te creëren voor de studenten?;Het zou geweldig zijn als de feedback op de examens sneller beschikbaar zou zijn, echt.;Ik zou graag willen dat de assistenten meer proactief contact opnemen als er problemen zijn.;Perhaps dedicated, confidential hours with counselors, without needing appointments, would reduce stress.
296;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Seriously, we are drowning in assignments, the pacing feels totally unmanageable.;Het zou helpen om meer praktijkervaring te krijgen in het schrijven van professionele e-mails en rapporten.;The lack of prompt feedback significantly hindered my ability to progress smoothly.;Graag een meer gestructureerde en laagdrempelige manier om mentorhulp te kunnen krijgen.;Het zou super zijn als we de feedback direct konden ontvangen, niet pas weken later.;De meldingen over de nieuwe opdrachtstructuur waren op tijd en zeer duidelijk.;Het zou een grotere keuze aan leerpaden op verschillende diepten kunnen bieden.
297;2;2026/27;Eindhoven;Cyber Security;Part-time;First-year;De kantooruren zijn vaak moeilijk te vinden en de docenten lijken erg druk.;Providing easier access to relevant industry certifications would truly enhance our career readiness.;Ik denk dat de interactie meer gericht zou moeten zijn om minder een monoloog te zijn.;Er zijn goede initiatieven, maar ze bereiken niet genoeg studenten die worstelen.;Geeft u meer inzicht in hoe ik de structuur van mijn essays de volgende keer beter kan aanpakken?;The support network here is wonderful, though a bit impersonal sometimes.;Het zou fijn zijn als er meer begeleiding was bij het aanpassen van studieplanningen.
298;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;The pace was excellent, but I wish the instructors would slow down when covering complex formulas.;I need more alumni connections to help me understand the professional landscape.;Ik moet de mentors vragen om meer aandacht te besteden aan hun [NAME].;Zou het mogelijk zijn om meer zichtbare en laagdrempelige welzijnsinformatie te delen?;Kunnen we een betere, meer transparante uitleg krijgen over het beoordelingsproces en de timing?;Misschien meer informele workshops over welzijn om een gevoel van groepssteun te creëren.;De counselors hebben echt een luisterend oor, maar ik wil soms meer directe strategische adviezen.
299;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Ik vind de focus op kritisch denken en diepgang erg waardevol voor mijn carrière.;I think scheduling regular speakers from various professional backgrounds would be extremely beneficial.;Ik zou graag meer feedback willen over de beste carrièrestappen ná dit programma.;Ik voel me dankbaar voor de psycholoog, maar het was lastig om afspraken te krijgen.;It would be helpful to know specific readings or resources for improvement, rather than just a grade.;Het zou fijn zijn met extra sessies over het navigeren door het Nederlandse academische systeem.;Please consider upgrading the walkways to be more stable and less slippery.
300;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I really need clearer guidelines on what constitutes excellent work for this module.;Het zou fijn zijn meer oefeningen over het leiden van teamvergaderingen en het faciliteren van discussies.;It feels great that the instructors anticipate our needs rather than just waiting for us to struggle.;Ik heb meer behoefte aan snelle, concrete antwoorden in plaats van alleen beleidsstukken.;Could the professors clarify the specific expectations for essay-style responses?;Het is moeilijk om echt diepgang te vinden in de adviezen, het was wat oppervlakkig.;The maintenance schedule for campus lifts seems inconsistent, causing delays and frustration.
301;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;The poor synchronization of resources across different modules needs immediate attention from the faculty.;The quality was great, but the sheer frequency of these expert talks needs to increase significantly.;Zijn aanpak leek niet echt persoonlijk, waardoor ik het gevoel kreeg dat ik alleen een student nummer was.;I feel generally supported, but the materials lack sufficient representation of various cultures.;Het zou nuttiger zijn als de commentaren concreter waren en meer actiepunten boden.;Het is geweldig als docenten snel antwoorden op mijn e-mails, zeker als het om deadlines gaat.;More resources, perhaps peer mentoring programs led by older students with similar experiences.
302;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Could you please allocate more hours? The limited schedule seriously compromises our learning experience.;It would be helpful to invite industry experts who work in specialized niche areas.;Ik zou graag meer persoonlijke feedback op mijn projecten ontvangen van de docenten.;I found the curriculum advising process straightforward and highly informative overall.;We zouden meer gewicht moeten geven aan praktische taken en minder aan de tentamenprestaties.;De communicatie over de veranderende leslocaties was echt verwarrend en onduidelijk.;Ik wil een duidelijker pad zien voor studenten die tijdelijk hun studielast moeten verlagen.
303;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;The technology used for the live classes often glitches, making it hard to follow the lecture.;Het zou fantastisch zijn om meer sessies te organiseren met mensen uit verschillende bedrijfstakken.;The constant change of instructors makes it hard to build a consistent understanding of the curriculum.;Het is frustrerend wanneer ik na een gemiste deadline nog niet weet wie ik moet aanspreken.;Wij vinden het beter als de examenvragen meer aansluiten bij de weekoverzichten.;Het voelt soms nog wat geïsoleerd, misschien meer groepsactiviteiten buiten de studieinhoud?;De aanpassingsmogelijkheden voor tentamens zijn soms te traag om praktisch nuttig te zijn.
304;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;De communicatie is traag en het is moeilijk om te weten wanneer we moeten zijn.;Het zou geweldig zijn als er vaker gastcolleges zijn over de praktijkervaring van ervaren professionals.;The feedback felt a bit generic, as if the discussion points were read directly from a manual.;Het zou helpen als er een centrale, gecoördineerde boekingspagina zou zijn.;I appreciate the effort, but the weighting between theory and practical application needs review.;I feel like we need more low-stakes opportunities to interact with professors and peers outside class.;I think a one-size-fits-all approach doesn't work for everyone's special circumstances.
305;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;The teachers are masters at making difficult subjects both engaging and incredibly practical.;Kunnen we meer ondersteuning krijgen bij het opstellen van overtuigende stageaanvragen?;Ik voel dat de docenten ons te veel groepsles geven en te weinig individuele begeleiding.;Zouden we kunnen kijken naar een iets intensiever rooster van mentordagen, alstublieft?;Ik raad aan meer redundantiteit voor het wifi-netwerk op de examenlocatie te hebben, want het was traag.;"Ik zou graag meer kleinschalige discussies in de klas willen; het voelt nu te groot.";Financial aid information should be more accessible and easily digestible for everyone.
306;2;2026/27;Tilburg;Software Engineering;Part-time;Second-year;We are frustrated by [NAME]’s slow response time on grades, dit zou dringend aangepakt moeten worden.;I think adding dedicated industry talks and networking mixers would significantly boost our professional connections.;Zou je kunnen kijken of de begeleiders meer stabiel kunnen zijn? Het is erg verwarrend.;Ik zou graag meer peer-to-peer support programma's willen ervaren.;Over het algemeen vond ik het eerlijk, maar de weging van de praktijkopdracht was wat subjectief.;Ik heb moeite om te zien of dit een IT-vraag is of een faculteitsvraag.;Meer transparantie over de financiële hulp zou voor veel studenten nuttig zijn.
307;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;It feels like the grading criteria are too demanding given the sheer volume of tasks.;Adding occasional talks by working professionals would improve our career readiness significantly.;Het programma zou baat hebben bij meer sessies van alumni die in de industrie werken.;I wish the mentoring was more consistent, maybe a quick call every two weeks.;Het zou ideaal zijn als assessment minder geconcentreerd is in de laatste weken van het jaar.;Zou de instelling overwegen om meer gespecialiseerde workshops aan te bieden via Zoom?;Ik denk dat een preventief welzijnsseminarium voor alle starters heel nuttig zou zijn.
308;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;We really need easier ways to connect with our instructors when we have specific questions.;Ik verwacht meer directe hulp bij het vinden van stages en betaalde projecten in de lokale regio.;It's confusing when the mentors' suggestions seem to contradict the stated guidelines from the department.;Ik zou meer georganiseerde activiteiten binnen het netwerk met andere studenten willen zien.;Het was erg stressvol door de constante technische haperingen tijdens de toets.;Knowing who to contact for technical problems versus career advice would save me a lot of time.;I suggest integrating wellness checks into the general student services for early intervention.
309;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The explanations are very detailed, yet occasionally too academic and lacking practical context.;Ik verwacht meer directe ondersteuning bij het vinden van een concrete stageplek. (Dutch);Het zou fijn zijn als de docenten meer tips gaven over sollicitatieprocessen.;Extra kleine complimenten maken een groot verschil in mijn academische gemoedstoestand.;A consistent and predictable timeline for grades would significantly reduce student anxiety and improve focus.;Het zou geweldig zijn als er meer directe contactmogelijkheden waren, misschien een chatfunctie.;Het was geweldig dat mijn mentor zo bereikbaar en begripvol bleef voor mij.
310;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Could the course provide clearer guidelines on the grading rubric for essays?;Adding local SME insights would give us a more realistic view of the job market.;Er is behoefte aan meer uniformiteit, de docenten geven telkens andere richtlijnen.;I really appreciated the chance to talk through tough subjects with my peers, it made things less overwhelming.;Geef ons de kans om onze kennis te tonen door via een uitgebreid project.;Ik zou graag meer feedback zien over de effectiviteit van de huidige sociale evenementen.;We need clearer guidance and more accessible study pods for concentration.
311;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Please make sure all necessary digital tools function smoothly before the next session.;Het zou super zijn als we regelmatiger contact konden leggen met professionals in de kunstsector.;Meer contact met ervaren studenten zou de overgang naar universiteit makkelijker maken.;De communicatie over wijzigingen is vaak te traag en ik weet dan niet wat ik moet doen.;The assessment felt disconnected from the core concepts we focused on throughout the semester.;Het zou fijn zijn als feedback over bereikbaarheid van docenten kon worden verzameld.;Could the campus consider adding more designated quiet study zones away from the main thoroughfare?
312;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;It feels like we are glossing over key concepts because the available hours are insufficient.;We need more simulations that mimic real-world client presentation settings.;Extra workshops over het opstellen van effectieve portfolio's zouden top zijn voor ons.;Ik waardeer de counselingdiensten, maar er zou meer focus kunnen komen op stresspreventie workshops.;Krijgen wij een betere communicatie over de verwachte datum van de definitieve beoordeling?;A little more flexibility with the meeting times would make the support much easier to utilize.;Kortere wachttijden voor afspraken en meer flexibele consultatietijden zijn gewenst.
313;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Could the institution address [NAME]'s grading speed? It's becoming a major issue for students.;Meer praktische ervaring via externe bedrijfsbezoeken zou onze vaardigheden enorm verbeteren.;I really appreciate how the mentors reach out before I even realize I need help.;I appreciate the personalized attention and direction I received from my assigned advisor.;Het voelde soms alsof de beoordeling afhing van wie de toets afnam, niet alleen van het werk.;Het zou nuttig zijn met meer mentoren van hogere jaargangen, iemand die écht weet hoe het zit.;De doorgangen zijn soms te smal, waardoor het moeilijk is om met een rolstoel te manoeuvreren.
314;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;It's difficult to get clear answers from some lecturers, their response time is frankly disappointing.;Het zou een enorme meerwaarde zijn met meer interactieve sessies van praktijkmensen.;It's really frustrating to have three different mentors this year, consistency would be much appreciated.;Het programma is ondersteunend, maar het mist soms het begrip van internationale studenten.;Het was lastig om te snappen wat precies werd gevraagd bij die open vragen.;Having more designated times for informal drop-ins would make a huge difference.;I felt genuinely cared for, and the teaching adapted to my needs effectively.
315;2;2026/27;Den Bosh;HBO-ICT;Part-time;Third-year;More dedicated time for Q&A would greatly help, given the limited lecture hours.;Het zou helpen als we meer casestudy's van bekende bedrijven analyseren, dat zou heel leerzaam zijn.;De communicatie is traag en het voelt alsof niemand mijn vragen serieus neemt.;Het zou helpen als de begeleiding niet zo sporadisch was, maar meer voorspelbaar.;Ik zou graag meer suggesties willen ontvangen over hoe ik mijn essay structuur kan verbeteren.;Could the course coordinator please be more responsive when emails about assignments are sent?;More resources and clearer guidelines would help students feel more supported and less anxious.
316;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Their ability to connect academic theory with real-world industry challenges was fantastic.;More trips to actual workplaces would give us a much better sense of professional operations.;De docenten zouden baat hebben bij een centrale update over de nieuwste beleidsregels.;Ik waardeer de aandacht voor mentale gezondheid, maar meer groepsactiviteiten zouden helpen.;Ik raadde het systeem meer stabiliteit, vooral bij de online examens.;I suggest making the student union resources more visible and better advertised everywhere.;Het zou helpen om meer flexibele deadlines te krijgen voor de grote projecten en tentamens.
317;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;The connection between the readings and the final assessment is unclear to many of us.;I wish we could work on projects using confidential, anonymized data from established companies.;Het is moeilijk om persoonlijke vragen te stellen als het zo snel een grote groep wordt.;Bedankt voor alle complimenten, het motiveert mij enorm om door te gaan met mijn studie.;Het is goed dat er support is, maar de deadlines voor aanvragen zijn te strak.;More chances to chat with faculty about career paths would be really beneficial for us.;It would be beneficial to have academic advisors who understand elite training schedules.
318;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Het is echt moeilijk om te focussen op de volgende modules vanwege [NAME] trage feedback.;Ik zou graag meer opdrachten willen zien die gebaseerd zijn op echte bedrijfscases.;I think the grading system could benefit from more transparent criteria, making feedback clearer.;More immediate acknowledgement of serious issues, rather than waiting weeks for a formal answer.;I wish there were more opportunities for low-stakes assessments to reduce the pressure.;Het zou fijn zijn als er meer gestructureerde, groepsgerichte sessies zouden zijn.;I wish there were better peer support groups specifically for involved student caregivers.
319;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Smith's grading is incredibly slow, which is really frustrating for my studies.;Het zou nuttig zijn met meer georganiseerde workshops over sollicitatietechnieken en netwerken.;Het zou geweldig zijn met kleine workshops waar we echt diepgang kunnen vinden in plaats van een grote groep.;Ik heb meer behoefte aan directe feedback na een gesprek, in plaats van beloften over latere actie.;Could the institution provide more specific guidelines on interpreting the academic reading material?;It would be really helpful if staff were more visible and available for quick chats during the day.;Voor de volgende keer, zou een checklist voor docenten over digitale toegankelijkheid nuttig zijn voor iedereen.
320;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I wish the course material and teacher explanations were presented in a more organized and digestible manner.;Ik zou meer kansen willen om op campus bedrijven te treffen en te spreken over stages.;De mentoren zijn erg behulpzaam, het helpt enorm met de eerste studiejaarspanningen.;De sessies over studiekeuze waren zeer informatief en hebben mijn blik op mijn toekomst verbreed.;I wish the grading process was faster so we could improve for the next modules.;Could the university advertise mental health resources in several languages to reach everyone?;De ondertiteling van video's moet altijd aanwezig zijn, anders is het moeilijk te volgen.
321;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Het is frustrerend dat we zo weinig contact hebben met de docenten buiten het lesgeven.;Meer directe koppeling met de data van echte bedrijven is heel gewenst.;Er zou meer ruimte moeten komen voor individuele vragen en discussies met de docenten.;De feedback was heel specifiek en hanteerbaar, waardoor ik mijn studie direct kon aanpassen.;Technical difficulties severely undermined the integrity of the assessment, making the results suspect.;I really need a clearer understanding of who to contact for urgent academic questions.;Het was heel geruststellend om te zien dat mijn docenten zo empathisch waren naar mijn persoonlijke situatie.
322;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Their real-world case studies truly enhance our understanding and market perspective.;Het zou top zijn als er meer 'real-world' projecten zouden komen die we kunnen afronden.;De mentor reageert vaak te traag, ik wacht weken op antwoorden op dringende vragen.;I appreciate the welcoming atmosphere, but some international students feel overlooked.;Er zou meer flexibiliteit moeten komen in de examenplanning om uitputting te voorkomen.;Ik zou meer workshops willen zien over academisch Nederlands voor internationale studenten.;A dedicated counseling service focusing on parental burnout would be extremely helpful.
323;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Het is echt moeilijk om een afspraak te krijgen met docenten, hun planning is te druk.;Het zou fijn zijn als we meer sessies over specifieke carrièrepaden kunnen horen.;De directe koppeling met de industrie maakt het leren heel relevant en bruikbaar.;Could we get a clear outline of the assessment weights for different projects and exams?;Het is wenselijk dat de examenvragen een meer uniforme en duidelijke formulering hebben.;Their responses to student queries online feel somewhat delayed and impersonal sometimes.;The current system makes adapting to unforeseen life challenges academically very stressful.
324;2;2026/27;Venlo;ICT & Business;Part-time;Fourth-year;Could the department address the grading speed? [NAME]'s turnaround time is becoming a major issue.;Ik ben van mening dat meer verplichte stage-achtige bezoeken de carrièreoriëntatie verbeteren.;We desperately need better guidelines on mentor response times for urgent student queries.;A slight increase in the frequency of meetings would really help us maintain momentum and focus.;Ik denk dat de vragen meer gericht moeten zijn om de bedoeling helderder te maken.;Ik zou graag meer contact met alumni zien, want dat versterkt het gevoel van deel uitmaken.;More signage pointing out accessible parking spots would greatly improve the daily student experience.
325;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Meer uitleg over de beoordelingsmechanismen zou het lerenproces veel makkelijker maken.;Adding mandatory field trips helps connect our coursework directly to corporate reality.;Het is frustrerend dat de online studenten de tweede keus lijken te zijn.;Het is moeilijk om support te vinden als het antwoord na weken komt.;Ik zou graag meer keuzevrijheid willen hebben over hoe we ons eindexamen laten maken.;The institution needs clearer resources on navigating academic life for non-native speakers.;Ik heb meer flexibele en ergonomische studieruimtes nodig die aangepast kunnen worden.
326;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;The feedback I received was too general to actually improve future submissions or understanding.;We would benefit greatly from working on simulations that mimic actual corporate decision-making.;I felt very supported because the teachers consistently reached out when needed.;It would be great to get advice on networking within the industry, too.;"De beoordeling was te vaag; meer gedetailleerd advies zou echt helpen bij mijn groei.";I think dedicating time to non-academic community building would be beneficial for everyone.;De parkeerplaatsen zijn moeilijk te bereiken, en de looproutes zijn soms onduidelijk voor de aangepaste route.
327;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;The availability of the instructors outside of class is a major area for improvement.;English: Could the curriculum incorporate industry-standard tools like [Specific Tool]? It would help.;It's honestly frustrating having three different mentors this year, consistency is really needed.;There needs to be clearer guidelines on how quickly concerns should be addressed by department heads.;Het constant hoge tempo en de druk maken het moeilijk om goed te presteren.;Meer groepsprojecten met sociale componenten zouden het leerproces en de connectie verbeteren.;Het zou helpen als er meer groepsgesprekken waren over omgaan met stress en onzekerheid.
328;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Ik waardeer de focus op praktische toepasbaarheid, het is meer dan alleen theorie.;Providing more insight into the unwritten rules of the professional workplace would be very helpful.;Zou het mogelijk zijn om wat meer kleine groepssessies te organiseren voor betere interactie?;It would be helpful if staff responded to emails regarding academic issues within one business day.;Het zou goed zijn als er vóór het tentamen meer voorbeelden van hoe de vragen gesteld worden.;Meer internationale studenten moeten zich meer thuis voelen door betere sociale programma's.;Het zou helpen als de communicatie over aanpassingen duidelijker en proactiever zou zijn.
329;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;De feedback die we ontvangen is te vaag om echt op te kunnen bouwen, waardoor we ons onzeker voelen.;Het zou geweldig zijn als de school meer professionele certificeringstrajecten aanbiedt.;Het is lastig om mijn specifieke vragen te stellen in een grote groep setting.;Ik heb meer structuur nodig over hoe mijn projecten beoordeeld worden, dat is te vaag.;More focus on balanced assessment methods, please. The current system feels extremely pressured and rigid.;Please consider implementing some weekly check-ins, even if they are just virtual.;Ik verwacht dat de verleiding van deadlines iets gematigder is als de omstandigheden zwaar zijn.
330;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;The response time on the online forum is painfully slow, which hinders timely revision.;Het zou nuttig zijn om meer zichtbaarheid te geven aan de stageplaatsen die via de docenten komen.;Het is erg moeilijk om gemotiveerd te blijven met zo'n trage en onvoorspelbare communicatie.;Kunnen we vaker feedback krijgen die specifiek verwijst naar concrete aanpassingen?;De focus van de toetsing leek te liggen op materie die slechts kort werd aangestipt.;The virtual office hours are helpful, but more spontaneous chat activities would boost participation.;Het is moeilijk om te weten welke fondsen beschikbaar zijn als je omstandigheden veranderen.
331;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Smith's delayed grading makes it impossible to plan for the next modules.;Zouden er meer opties zijn voor projecten die samenwerken met lokale bedrijven?;It's confusing when the mentor's advice contradicts official department guidelines.;Kunnen we een soort 'reserve' slot inbouwen voor studenten die urgentie hebben?;Could the institution provide more detailed self-study resources specifically for diverse learning styles?;Zou het mogelijk zijn om een centrale plek te hebben waar je vragen kunt stellen?;We need more transparent communication regarding the specific criteria for academic extensions.
332;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Smith's grading delay is impacting our studies and overall motivation, it is a big issue.;Ik zou graag meer oefening willen met het professioneel communiceren van complexe ideeën.;Kunt u de communicatieprocessen verbeteren? Het duurt te lang voordat we een antwoord krijgen.;The emphasis on Western norms felt limiting, incorporating global perspectives would be beneficial.;Het zou beter zijn om meer beoordeling te doen via mondelinge tentamens.;We appreciate prompt feedback, but sometimes getting replies feels like a long process.;Alle online presentaties moeten een duidelijke, alternatieve tekstbeschrijving hebben voor afbeeldingen.
333;1;2026/27;Eindhoven;Artificial Intelligence;Part-time;First-year;Please make the teachers' office hours more consistent and easily promoted to all students.;Het zou prettig zijn als docenten meer in contact zouden staan met de sector om de link te versterken.;The feedback could be more tailored to individual student needs rather than a blanket approach.;We really need more consistent check-ins, the timing often feels unpredictable and unhelpful.;Het systeem voelt te veel gericht op één examenmoment, wat onrealistisch is.;Could the campus also consider adding more common areas for student collaboration?;Meer aandacht voor het herkennen van burn-out signalen in de studentenpopulatie is cruciaal.
334;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Ik snap echt niet wat de docent bedoelde met de grading, het was te vaag.;Ik zou graag willen dat er meer begeleiding is met het aanscherpen van ons professionele netwerk.;When there are high demand times, the whole system seems to crash or glitch.;Zichtbaarheid en aanmoediging van het personeel geeft echt een gevoel van eigenaarschap.;"Overall, the assessments were challenging; the subjective nature of grading sometimes felt unfair.";It would really help to have a central hub listing contacts for every issue.;Het zou nuttig zijn met meer voorafgaande informatie over de flexibiliteitsopties die er zijn.
335;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Ik zou graag meer flexibiliteit willen in de uren om met de docenten te praten.;Het zou fijn zijn als meer professionele netwerkbijeenkomsten georganiseerd zouden worden.;Het is teleurstellend dat de begeleiding zo algemeen is, we hebben persoonlijke input nodig.;Ik vond de begeleiding bij mijn leerdoelen en vakkeuzes bijzonder nuttig en duidelijk.;We zouden graag een duidelijkere tijdlijn willen zien voor alle examencijfers.;A dedicated announcement system for time changes would significantly improve the experience.;Wat is het proces als ik extra financiële middelen nodig heb om te kunnen blijven studeren?
336;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;I really hope [NAME] can speed up the grading process for this program.;Ik hoop dat er regelmatiger sessies komen van mensen die net binnen het vakgebied werken.;Ik heb het gevoel dat onze vragen worden genegeerd vanwege de lange stilteperiodes en onduidelijke follow-up.;Ik voel me echt gesteund en gewaardeerd door de positieve feedback en complimenten.;Het is goed dat er feedback is, maar de consistentie in de beoordeling schiet tekort.;Het is onduidelijk wie ik moet bellen voor een financiële vraag, is het studentenadministratie of de financiële afdeling?;I suggest consolidating all financial aid information in one easy-to-use portal.
337;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Het niveau van detail dat ze geven is perfect, ik voel me nu veel beter voor de arbeidsmarkt.;We need more hands-on time with professional-grade software that reflects current industry workflows.;Mijn mentor is erg attent, maar zou misschien meer geholpen kunnen worden met advanced case studies.;The academic planning sessions were very helpful in shaping my major choices.;I feel the exams test things we didn't get adequate coverage for during the course.;Meer korte, informeel contact met docenten zou echt helpen bij mijn begrip van de stof.;De toiletten op de hogeschool zijn soms onpraktisch en de looproutes zijn te lang.
338;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;De hoeveelheid stof die we moeten afnemen, vereist simpelweg meer tijd en sessies.;The job search support needs to be more tailored to specialized academic fields.;Ik hoop dat de begeleiding meer consistent wordt, het wisselen van docenten is erg vermoeiend.;The resource guide linking courses to career paths was extremely helpful and comprehensive.;De formuleringen van de vragen waren soms te complex en misten aan nodige vereenvoudiging.;Meer interactieve casestudies in de les zouden het contact en de betrokkenheid verbeteren.;Ik hoop op meer workshops die specifieke studievaardigheden voor special needs blootleggen.
339;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Ik heb het gevoel dat we te weinig tijd krijgen om alle vereiste praktijkopdrachten af te ronden.;More company tours would give us a practical understanding of how different sectors operate in the real world.;Kunnen de mentoren hun reactietijd verbeteren? Wachten op e-mails is te lang.;Het was geweldig om te zien dat mijn specifieke prestaties worden opgemerkt en gevierd.;Getting quick feedback is crucial for improving, and right now, the waiting period is just too long.;It would be great to have designated 'community hours' where students can simply gather and connect.;Het zou geweldig zijn als alle video's automatisch ingebed werden met accurate en tijdgestempelde ondertiteling.
340;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Soms voelt het alsof de uitleg te ver van de werkelijkheid afhangt, meer academisch.;Would it be possible to use confidential company data for mock projects? That would be ideal.;Nogmaals, het wisselen van mentoren is te veel, we hebben meer stabiliteit nodig hier.;I wish there was a dedicated peer-to-peer group focused purely on emotional resilience.;I think a mix of smaller assignments and one major exam would be less stressful and more accurate.;Het systeem van contactpunten is te verspreid, ik weet zelden wie ik moet bellen.;Could the campus add more visible signage pointing to accessible pathways, please?
341;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik denk dat de begeleiding op het gebied van carrière en vakinhoudelijk inzicht geweldig is.;Meer feedback op presenteren aan een professioneel publiek zou echt helpen om mijn zelfvertrouwen op te bouwen.;Ik voel mij soms wat geïsoleerd omdat de meeste evenementen en sociale interacties op de campus plaatsvinden.;Ik voel me hier echt gewaardeerd, en mijn achtergrond wordt altijd begrepen.;I experienced significant latency that made real-time answering nearly impossible during the final assessment.;"We miss the spontaneity of older years; maybe unscheduled times would work better?";Ik zou graag meer online quizzen willen die ook toegankelijk zijn voor alle gebruikers.
342;2;2026/27;Tilburg;Cyber Security;Part-time;Second-year;Honestly, the overall assignment load is overwhelming and poorly managed time-wise.;I really hope for more targeted networking opportunities connecting students with recent graduate professionals.;Er waren momenten waarop de gegeven adviezen elkaar feitelijk tegenspraken, wat verwarrend was.;My mentor gave me a clear vision for my post-graduate academic journey.;We really need a clearer timeline regarding when we can expect our assessment results back.;Ik zou meer praktische opdrachten graag willen, zodat we meer contact hebben met de onderwerpen.;We need a more transparent system for requesting and approving modified exam schedules.
343;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Het is jammer dat de contacturen zo beperkt zijn, het gaat te snel.;Het zou nuttig zijn om een cursus over het beheren van professionele conflicten te doen.;We really need some consistency in response times, sometimes it's almost impossible to reach anyone.;Zou het kunnen dat er een meer duidelijk stappenplan is voor het volgende semester?;Ik denk dat een evenwichtiger verdeling tussen tentamens en praktijkopdrachten wenselijk is.;I wish there were more localized workshops tailored to different cultural backgrounds.;Het zou fantastisch zijn als we meer keuze hadden in de diepte van de onderwerpen.
